sigla,idpozo,area,cod_area,empresa,yacimiento,cod_yacimiento,formacion,cuenca,provincia,cota,profundidad,clasificacion,subclasificacion,tipo_recurso,sub_tipo_recurso,gasplus,tipopozo,tipoextraccion,tipoestado,adjiv_fecha_inicio_perf,adjiv_fecha_fin_perf,adjiv_fecha_inicio_term,adjiv_fecha_fin_term,geojson,geom
JCa.-11,34540,CAIMANCITO,CAI,JUJUY HIDROCARBUROS SAU,CAIMANCITO,CAI,maiz gordo,NOROESTE,Jujuy,524,3865,No informado,No informado,No informado,No informado,no,Petrolífero,Sin Sistema de Extracción,Abandonado,,,,,"{""type"":""Point"",""coordinates"":[-64.596225000000004,-23.664439000000002]}",0101000020E6100000B003E78C282650C0DC2F9FAC18AA37C0
JCa.-19,34541,CAIMANCITO,CAI,JUJUY HIDROCARBUROS SAU,CAIMANCITO,CAI,yacoraite,NOROESTE,Jujuy,556,4162,No informado,No informado,No informado,No informado,no,Petrolífero,Sin Sistema de Extracción,Abandonado,,,,,"{""type"":""Point"",""coordinates"":[-64.591919000000004,-23.613453]}",0101000020E610000063B83A00E22550C012A27C410B9D37C0
JCa.-25,34542,CAIMANCITO,CAI,JUJUY HIDROCARBUROS SAU,CAIMANCITO,CAI,maiz gordo,NOROESTE,Jujuy,522,3372,No informado,No informado,No informado,No informado,no,Petrolífero,Sin Sistema de Extracción,Abandonado,,,,,"{""type"":""Point"",""coordinates"":[-64.587755999999999,-23.641605999999999]}",0101000020E6100000C78157CB9D2550C0D9EA724A40A437C0
JCa.-26,34543,CAIMANCITO,CAI,JUJUY HIDROCARBUROS SAU,CAIMANCITO,CAI,maiz gordo,NOROESTE,Jujuy,594,3628,No informado,No informado,No informado,No informado,no,Petrolífero,Sin Sistema de Extracción,Abandonado,,,,,"{""type"":""Point"",""coordinates"":[-64.613924999999995,-23.644231000000001]}",0101000020E6100000984C158C4A2750C0C311A452ECA437C0
JCa.-29,34544,CAIMANCITO,CAI,JUJUY HIDROCARBUROS SAU,CAIMANCITO,CAI,maiz gordo,NOROESTE,Jujuy,548,3365,No informado,No informado,No informado,No informado,no,Petrolífero,Surgencia Natural,Extracción Efectiva,,,,,"{""type"":""Point"",""coordinates"":[-64.602619000000004,-23.651481]}",0101000020E6100000B03C484F912650C023F77475C7A637C0
JCa.-41,34545,CAIMANCITO,CAI,JUJUY HIDROCARBUROS SAU,CAIMANCITO,CAI,yacoraite,NOROESTE,Jujuy,491,5643,No informado,No informado,No informado,No informado,no,Petrolífero,Sin Sistema de Extracción,Abandonado,,,,,"{""type"":""Point"",""coordinates"":[-64.592135999999996,-23.645336]}",0101000020E610000031B2648EE52550C074EE76BD34A537C0
JCa.-09,34546,CAIMANCITO,CAI,JUJUY HIDROCARBUROS SAU,CAIMANCITO,CAI,yacoraite,NOROESTE,Jujuy,569,4580,No informado,No informado,No informado,No informado,no,Petrolífero,Sin Sistema de Extracción,En Estudio,,,,,"{""type"":""Point"",""coordinates"":[-64.609722000000005,-23.650444]}",0101000020E6100000B6696CAF052750C022E17B7F83A637C0
YPF.Jj.EO.x-1,79223,LA BREA (CNO-9),LBR,SELVA MARIA OIL S.A.,EL OCULTO,EOCU,yacoraite,NORESTE,Jujuy,425.78,4031,EXPLORACION,EXPLORACION,No informado,No informado,no,Petrolífero,Sin Sistema de Extracción,A Abandonar,,,,,"{""type"":""Point"",""coordinates"":[-64.489000000000004,-23.740400000000001]}",0101000020E61000009EEFA7C64B1F50C05AF5B9DA8ABD37C0
YPF.Jj.EO.x-2,79224,LA BREA (CNO-9),LBR,SELVA MARIA OIL S.A.,EL OCULTO,EOCU,yacoraite,NORESTE,Jujuy,473.13,3436,EXPLORACION,EXPLORACION,No informado,No informado,no,Petrolífero,Sin Sistema de Extracción,A Abandonar,,,,,"{""type"":""Point"",""coordinates"":[-64.467399999999998,-23.754899999999999]}",0101000020E6100000A089B0E1E91D50C01AC05B2041C137C0
YPF.Jj.EO.x-1001,79225,LA BREA (CNO-9),LBR,SELVA MARIA OIL S.A.,EL OCULTO,EOCU,yacoraite,NORESTE,Jujuy,539,2569,EXPLORACION,EXPLORACION,No informado,No informado,no,Petrolífero,Sin Sistema de Extracción,A Abandonar,,,,,"{""type"":""Point"",""coordinates"":[-64.461699999999993,-23.804600000000001]}",0101000020E61000000B24287E8C1D50C0925CFE43FACD37C0
YPF.Jj.JB.x-1,79226,LA BREA (CNO-9),LBR,SELVA MARIA OIL S.A.,LA BREA ESTE,LABE,yacoraite,NORESTE,Jujuy,442.35,1646,EXPLORACION,EXPLORACION,No informado,No informado,no,Petrolífero,Sin Sistema de Extracción,En Reparación,,,,,"{""type"":""Point"",""coordinates"":[-64.414000000000001,-23.8279]}",0101000020E6100000D122DBF97E1A50C0C05B2041F1D337C0
YPF.Jj.JB.x-3,79227,LA BREA (CNO-9),LBR,SELVA MARIA OIL S.A.,LA BREA ESTE,LABE,yacoraite,NORESTE,Jujuy,440.94,1582,EXPLORACION,EXPLORACION,No informado,No informado,no,Petrolífero,Bombeo Mecánico,Parado Transitoriamente,,,,,"{""type"":""Point"",""coordinates"":[-64.422300000000007,-23.8215]}",0101000020E6100000744694F6061B50C0FCA9F1D24DD237C0
YPF.Jj.JB.x-7,79228,LA BREA (CNO-9),LBR,SELVA MARIA OIL S.A.,LA BREA ESTE,LABE,yacoraite,NORESTE,Jujuy,458.72,937,EXPLORACION,EXPLORACION,No informado,No informado,no,Petrolífero,Sin Sistema de Extracción,A Abandonar,,,,,"{""type"":""Point"",""coordinates"":[-64.459900000000005,-23.758099999999999]}",0101000020E61000008CDB68006F1D50C0FC1873D712C237C0
YPF.Jj.JB.x-9,79229,LA BREA (CNO-9),LBR,SELVA MARIA OIL S.A.,LA BREA ESTE,LABE,yacoraite,NORESTE,Jujuy,435.7,2031,EXPLORACION,EXPLORACION,No informado,No informado,no,Petrolífero,Sin Sistema de Extracción,Abandonado,,,,,"{""type"":""Point"",""coordinates"":[-64.413399999999996,-23.803999999999998]}",0101000020E6100000A60A4625751A50C0E7FBA9F1D2CD37C0
YPF.Jj.JE.x-1,79230,LA BREA (CNO-9),LBR,SELVA MARIA OIL S.A.,LA BREA ESTE,LABE,yacoraite,NORESTE,Jujuy,442.35,1925,EXPLORACION,EXPLORACION,No informado,No informado,no,Petrolífero,Sin Sistema de Extracción,Abandonado,,,,,"{""type"":""Point"",""coordinates"":[-64.424599999999998,-23.821400000000001]}",0101000020E61000006C787AA52C1B50C035EF384547D237C0
YPF.Jj.LLB.x-1,79231,LA BREA (CNO-9),LBR,SELVA MARIA OIL S.A.,LA BREA ESTE,LABE,yacoraite,NORESTE,Jujuy,478,1962,EXPLORACION,EXPLORACION,No informado,No informado,no,Petrolífero,Sin Sistema de Extracción,A Abandonar,,,,,"{""type"":""Point"",""coordinates"":[-64.4315,-23.829999999999998]}",0101000020E6100000560E2DB29D1B50C014AE47E17AD437C0
YPF.Jj.LBE.x-1,79232,LA BREA (CNO-9),LBR,SELVA MARIA OIL S.A.,LA BREA ESTE,LABE,yacoraite,NORESTE,Jujuy,440.3,1900,EXPLORACION,EXPLORACION,No informado,No informado,no,Petrolífero,Sin Sistema de Extracción,A Abandonar,,,,,"{""type"":""Point"",""coordinates"":[-64.419300000000007,-23.823799999999999]}",0101000020E61000009FCDAACFD51A50C0DE718A8EE4D237C0
YPF.Jj.LBs.x-1,79233,LA BREA (CNO-9),LBR,SELVA MARIA OIL S.A.,LA BREA ESTE,LABE,yacoraite,NORESTE,Jujuy,544,2026,EXPLORACION,EXPLORACION,No informado,No informado,no,Petrolífero,Sin Sistema de Extracción,A Abandonar,,,,,"{""type"":""Point"",""coordinates"":[-64.447500000000005,-23.832799999999999]}",0101000020E6100000713D0AD7A31C50C0DA1B7C6132D537C0
PES.JJ.Ca.s-1003,130553,CAIMANCITO,CAI,JUJUY HIDROCARBUROS SAU,CAIMANCITO,CAI,formación improductiva,NOROESTE,Jujuy,500,522.75,SERVICIO,SUMIDERO,SIN RESERVORIO,No informado,no,Sumidero,Sin Sistema de Extracción,En Inyección Efectiva,8/2/1969,6/1/1970,6/1/1970,6/5/1970,"{""type"":""Point"",""coordinates"":[-64.602899996600001,-23.642010003100001]}",0101000020E6100000F409DEE9952650C0F5047FC45AA437C0
PES.JJ.Ca.s-1001,130554,CAIMANCITO,CAI,JUJUY HIDROCARBUROS SAU,CAIMANCITO,CAI,formación improductiva,NOROESTE,Jujuy,535,215,SERVICIO,SUMIDERO,SIN RESERVORIO,No informado,no,Petrolífero,Sin Sistema de Extracción,Abandonado,9/26/2003,11/6/2003,11/8/2003,11/18/2003,"{""type"":""Point"",""coordinates"":[-64.606019996599997,-23.644420003099999]}",0101000020E61000009E871808C92650C0E53396B5F8A437C0
PES.JJ.Ca.s-1002,131087,CAIMANCITO,CAI,JUJUY HIDROCARBUROS SAU,CAIMANCITO,CAI,formación improductiva,NOROESTE,Jujuy,540,166,SERVICIO,SUMIDERO,SIN RESERVORIO,No informado,no,Petrolífero,Sin Sistema de Extracción,Abandonado,10/6/2005,11/13/2005,,,"{""type"":""Point"",""coordinates"":[-64.605289996500005,-23.645250003200001]}",0101000020E610000010E44012BD2650C0E77CAD1A2FA537C0
