SIGLA,IDENTIFICA,EMPRESA,AREA,YACIMIENTO,FORMACION,CUENCA_1,PROVINCIA,COTA,PROFUNDIDA,CLASIFICAC,SUBCLASIFI,TIPO_RECUR,SUB_TIPO_R,GASPLUS,TIPO_POZO,TIPO_EXTRA,TIPO_ESTAD,FECHA_INIC,FECHA_FIN_,ASFECHA_IN,FECHA_F_01,CUENCA_2,TIPO,UBICACION,GEOJSON,geometry
AS.Md.RT-8,122428,YPF S.A.,RIO TUNUYAN (TUN),RIO TUNUYAN (TUN),barrancas,CUYANA,Mendoza,764.02 m,2422 m,EXPLOTACION,DESARROLLO,CONVENCIONAL,No informado,no,Otro tipo,Sin Sistema de Extracción,Abandonado,,,,,CUYANA,Productiva,ONSHORE,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.4040036110944,-31.9528876036087],[-68.4022827263489,-31.9572002952707],[-68.3763285573135,-31.9795198493526],[-68.3702911008289,-31.989056012214],[-68.3457378826344,-32.0187996154114],[-68.2971380474481,-32.13",POINT (-68.69927179 -33.28755392)
AS.Md.RT-9,122429,YPF S.A.,RIO TUNUYAN (TUN),RIO TUNUYAN (TUN),barrancas,CUYANA,Mendoza,761.46 m,2429 m,EXPLOTACION,DESARROLLO,CONVENCIONAL,No informado,no,Petrolífero,Sin Sistema de Extracción,Parado Alta Relación Agua/Petróleo,,,,,CUYANA,Productiva,ONSHORE,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.4040036110944,-31.9528876036087],[-68.4022827263489,-31.9572002952707],[-68.3763285573135,-31.9795198493526],[-68.3702911008289,-31.989056012214],[-68.3457378826344,-32.0187996154114],[-68.2971380474481,-32.13",POINT (-68.69794397 -33.28436416)
AS.Md.RT-10,122430,YPF S.A.,RIO TUNUYAN (TUN),RIO TUNUYAN (TUN),barrancas,CUYANA,Mendoza,744.47 m,2406 m,EXPLOTACION,DESARROLLO,CONVENCIONAL,No informado,no,Otro tipo,Sin Sistema de Extracción,Abandonado,,,,,CUYANA,Productiva,ONSHORE,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.4040036110944,-31.9528876036087],[-68.4022827263489,-31.9572002952707],[-68.3763285573135,-31.9795198493526],[-68.3702911008289,-31.989056012214],[-68.3457378826344,-32.0187996154114],[-68.2971380474481,-32.13",POINT (-68.71030747 -33.28668779)
AS.Md.RT-11,122431,YPF S.A.,RIO TUNUYAN (TUN),RIO TUNUYAN (TUN),barrancas,CUYANA,Mendoza,750.81 m,2424 m,EXPLOTACION,DESARROLLO,CONVENCIONAL,No informado,no,Otro tipo,Sin Sistema de Extracción,Abandonado,,,,,CUYANA,Productiva,ONSHORE,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.4040036110944,-31.9528876036087],[-68.4022827263489,-31.9572002952707],[-68.3763285573135,-31.9795198493526],[-68.3702911008289,-31.989056012214],[-68.3457378826344,-32.0187996154114],[-68.2971380474481,-32.13",POINT (-68.70786881 -33.27892787)
AS.Md.RT-12,122432,YPF S.A.,RIO TUNUYAN (TUN),RIO TUNUYAN (TUN),barrancas,CUYANA,Mendoza,743.51 m,2415 m,EXPLOTACION,DESARROLLO,CONVENCIONAL,No informado,no,Petrolífero,Electrosumergible,Extracción Efectiva,,,,,CUYANA,Productiva,ONSHORE,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.4040036110944,-31.9528876036087],[-68.4022827263489,-31.9572002952707],[-68.3763285573135,-31.9795198493526],[-68.3702911008289,-31.989056012214],[-68.3457378826344,-32.0187996154114],[-68.2971380474481,-32.13",POINT (-68.70762124 -33.27507542)
AS.Md.RT-13,122433,YPF S.A.,RIO TUNUYAN (TUN),RIO TUNUYAN (TUN),barrancas,CUYANA,Mendoza,768.98 m,2431 m,EXPLOTACION,DESARROLLO,CONVENCIONAL,No informado,no,Petrolífero,Electrosumergible,Extracción Efectiva,,,,,CUYANA,Productiva,ONSHORE,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.4040036110944,-31.9528876036087],[-68.4022827263489,-31.9572002952707],[-68.3763285573135,-31.9795198493526],[-68.3702911008289,-31.989056012214],[-68.3457378826344,-32.0187996154114],[-68.2971380474481,-32.13",POINT (-68.69965816 -33.29112603)
AS.Md.RT-14,122434,YPF S.A.,RIO TUNUYAN (TUN),RIO TUNUYAN (TUN),barrancas,CUYANA,Mendoza,784.7 m,2445 m,EXPLOTACION,DESARROLLO,CONVENCIONAL,No informado,no,Petrolífero,Electrosumergible,Extracción Efectiva,,,,,CUYANA,Productiva,ONSHORE,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.4040036110944,-31.9528876036087],[-68.4022827263489,-31.9572002952707],[-68.3763285573135,-31.9795198493526],[-68.3702911008289,-31.989056012214],[-68.3457378826344,-32.0187996154114],[-68.2971380474481,-32.13",POINT (-68.70130869 -33.29472102)
AS.Md.RT-15,122435,YPF S.A.,RIO TUNUYAN (TUN),RIO TUNUYAN (TUN),barrancas,CUYANA,Mendoza,790.78 m,2450 m,EXPLOTACION,DESARROLLO,CONVENCIONAL,No informado,no,Petrolífero,Electrosumergible,Extracción Efectiva,,,,,CUYANA,Productiva,ONSHORE,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.4040036110944,-31.9528876036087],[-68.4022827263489,-31.9572002952707],[-68.3763285573135,-31.9795198493526],[-68.3702911008289,-31.989056012214],[-68.3457378826344,-32.0187996154114],[-68.2971380474481,-32.13",POINT (-68.69714628 -33.29405086)
AS.Md.RT-16,122436,YPF S.A.,RIO TUNUYAN (TUN),RIO TUNUYAN (TUN),barrancas,CUYANA,Mendoza,781.67 m,2444 m,EXPLOTACION,DESARROLLO,CONVENCIONAL,No informado,no,Petrolífero,Electrosumergible,Extracción Efectiva,,,,,CUYANA,Productiva,ONSHORE,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.4040036110944,-31.9528876036087],[-68.4022827263489,-31.9572002952707],[-68.3763285573135,-31.9795198493526],[-68.3702911008289,-31.989056012214],[-68.3457378826344,-32.0187996154114],[-68.2971380474481,-32.13",POINT (-68.69603753 -33.2904035)
AS.Md.RT-17,122437,YPF S.A.,RIO TUNUYAN (TUN),RIO TUNUYAN (TUN),barrancas,CUYANA,Mendoza,778.56 m,2437 m,EXPLOTACION,DESARROLLO,CONVENCIONAL,No informado,no,Otro tipo,Sin Sistema de Extracción,En Estudio,,,,,CUYANA,Productiva,ONSHORE,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.4040036110944,-31.9528876036087],[-68.4022827263489,-31.9572002952707],[-68.3763285573135,-31.9795198493526],[-68.3702911008289,-31.989056012214],[-68.3457378826344,-32.0187996154114],[-68.2971380474481,-32.13",POINT (-68.6950639 -33.28691559)
AS.Md.RT-18,122438,YPF S.A.,RIO TUNUYAN (TUN),RIO TUNUYAN (TUN),barrancas,CUYANA,Mendoza,753.85 m,2417 m,EXPLOTACION,DESARROLLO,CONVENCIONAL,No informado,no,Petrolífero,Sin Sistema de Extracción,Parado Alta Relación Agua/Petróleo,,,,,CUYANA,Productiva,ONSHORE,"{""type"":""MultiPolygon"",""coordinates"":[[[[-68.4040036110944,-31.9528876036087],[-68.4022827263489,-31.9572002952707],[-68.3763285573135,-31.9795198493526],[-68.3702911008289,-31.989056012214],[-68.3457378826344,-32.0187996154114],[-68.2971380474481,-32.13",POINT (-68.69675176 -33.28109582)
